Timestamp_Local | L1 Real Power (W) | L2 Real Power (W) | L3 Real Power (W) | Total Real Power (W) | L1 Reactive Power (VAR) | L2 Reactive Power (VAR) | L3 Reactive Power (VAR) | Total Reactive Power (VAR) | L1 Apparent Power (VA) | L2 Apparent Power (VA) | L3 Apparent Power (VA) | Total Apparent Power (VA) | L1 True PF (%) | L2 True PF (%) | L3 True PF (%) | Total True PF (%) | L1 Displacement PF (%) | L2 Displacement PF (%) | L3 Displacement PF (%) | Total Displacement PF (%) | L1 Distortion PF (%) | L2 Distortion PF (%) | L3 Distortion PF (%) | Total Distortion PF (%)
2026-05-12 09:22:05 | 108975.023438 | 122367.5625 | 109127.6875 | 340470.28125 | 59032.980469 | 53482.574219 | 43188.183594 | 155703.734375 | 123937.304688 | 133546.90625 | 117364.992188 | 374849.21875 | -87.927536 | -91.628906 | -92.981461 | -90.823555 | -87.420563 | -92.057869 | -92.465302 | -90.772369 | 99.984421 | 99.987083 | 99.969627 | 99.980377
2026-05-12 09:22:41 | 106610.179688 | 119899.046875 | 106213.984375 | 332723.1875 | 56934.292969 | 50784.453125 | 40792.117188 | 148510.875 | 120858.59375 | 130220.359375 | 113789.03125 | 364868.0 | -88.21067 | -92.073959 | -93.342903 | -91.196892 | -87.592667 | -91.793083 | -93.004845 | -90.9291 | 99.985367 | 99.988014 | 99.972488 | 99.981956
2026-05-12 09:23:16 | 111029.484375 | 124349.578125 | 109275.585938 | 344654.65625 | 59973.828125 | 52430.660156 | 43066.371094 | 155470.859375 | 126202.390625 | 134929.953125 | 117483.257812 | 378615.59375 | -87.977318 | -92.158623 | -93.013748 | -91.042862 | -87.711906 | -91.573822 | -92.897423 | 9.227261 | 99.986145 | 99.988678 | 99.97435 | 99.983055
2026-05-12 09:23:52 | 106060.945312 | 119778.726562 | 103861.296875 | 329700.96875 | 60913.089844 | 52176.84375 | 43162.660156 | 156252.59375 | 122291.1875 | 130647.96875 | 112499.382812 | 365438.53125 | -86.728203 | -91.680511 | -92.321655 | -90.220619 | -87.711906 | -91.573822 | -92.897423 | 9.227261 | 99.986145 | 99.988678 | 99.97435 | 99.983055
2026-05-12 09:24:27 | 106821.273438 | 120635.164062 | 105204.796875 | 332661.25 | 60647.121094 | 52605.667969 | 43185.472656 | 156438.265625 | 122827.890625 | 131607.234375 | 113724.335938 | 368159.46875 | -86.968254 | -91.663017 | -92.508598 | -90.35643 | -88.045181 | -92.2258 | -93.109978 | -91.250671 | 99.984459 | 99.986145 | 99.969948 | 99.980186
2026-05-12 09:25:03 | 99350.648438 | 111793.648438 | 96821.929688 | 307966.21875 | 55202.730469 | 46361.875 | 38841.890625 | 140406.5 | 113671.890625 | 121014.8125 | 104345.273438 | 339031.96875 | -87.401245 | -92.380142 | -92.789948 | -90.819435 | -86.853485 | -91.754768 | -92.418907 | -90.484024 | 99.984528 | 99.985802 | 99.967003 | 99.979118
2026-05-12 09:25:38 | 98694.9375 | 111838.617188 | 98388.296875 | 308921.875 | 55332.023438 | 48659.3125 | 39306.238281 | 143297.578125 | 113154.539062 | 121958.5625 | 105977.085938 | 341090.1875 | -87.221367 | -91.702148 | -92.839218 | -90.585938 | -86.853485 | -91.754768 | -92.418907 | -90.484024 | 99.984528 | 99.985802 | 99.967003 | 99.979118
2026-05-12 09:26:14 | 97964.054688 | 111586.765625 | 99668.414062 | 309219.21875 | 52610.71875 | 47957.597656 | 37232.980469 | 137801.296875 | 111182.992188 | 121442.515625 | 106427.507812 | 339053.0 | -88.110649 | -91.88443 | -93.649117 | -91.183403 | -87.479591 | -92.340675 | -92.868538 | 9.689368 | 99.981598 | 99.982269 | 99.959991 | 99.974617
2026-05-12 09:26:50 | 93132.09375 | 106082.351562 | 94017.976562 | 293232.40625 | 50486.882812 | 45193.847656 | 35210.863281 | 130891.59375 | 105942.96875 | 115319.6875 | 100412.101562 | 321674.75 | -87.907768 | -91.989807 | -93.632118 | -91.142075 | -87.553925 | -91.564354 | -93.207016 | -90.915382 | 99.980827 | 99.983589 | 99.960625 | 99.975014
