Timestamp_Local | L1 Current (A) | L2 Current (A) | L3 Current (A) | L4(Neutral) Current (A) | 3 Phase Average Current (A) | Pos. Seq. Current (A) | Neg. Seq. Current (A) | Current Unbalanced (A) | L1-L2 Voltage (V) | L2-L3 Voltage (V) | L3-L1 Voltage (V) | AUX Voltage (V) | 3 Phase Average Voltage L-L (V) | Pos. Seq. Voltage (V) | Neg. Seq. Voltage (V) | Voltage Unbalanced (V) | L1-N Voltage (V) | L2-N Voltage (V) | L3-N Voltage (V) | 3 Phase Average Voltage L-N (V) | Last Cycle Frequency (Hz) | Phase Rotation
2026-05-12 09:22:05 | 49.628403 | 53.674194 | 47.519684 | 0.003984 | 50.274094 | 50.167839 | 3.727034 | 7.42913 | 4331.055176 | 4284.839355 | 4300.354492 | 0.0 | 4305.416504 | 4304.397461 | 40.867172 | 0.949428 | 2497.544189 | 2487.655029 | 2471.09375 | 2485.430908 | 59.977535 | 2.0
2026-05-12 09:22:41 | 48.328842 | 52.21526 | 45.950409 | 0.003984 | 48.831501 | 48.721165 | 3.763814 | 7.725214 | 4333.54834 | 4291.762207 | 4303.935059 | 0.0 | 4309.748535 | 4308.805664 | 38.603394 | 0.895919 | 2498.616455 | 2490.633789 | 2474.667969 | 2487.972656 | 59.983395 | 2.0
2026-05-12 09:23:16 | 50.52338 | 54.176853 | 47.446125 | 0.003984 | 50.715454 | 50.596939 | 3.984494 | 7.874969 | 4333.307129 | 4293.913086 | 4303.102539 | 0.0 | 4310.10791 | 4309.282227 | 37.650223 | 0.8737 | 2497.782471 | 2491.467773 | 2475.263916 | 2488.171143 | 60.000973 | 2.0
2026-05-12 09:23:52 | 49.015404 | 52.484978 | 45.423229 | 0.003984 | 48.974537 | 48.843761 | 4.192914 | 8.584337 | 4331.170898 | 4295.702148 | 4303.698242 | 0.0 | 4310.19043 | 4309.401367 | 35.267296 | 0.81838 | 2496.829346 | 2491.229492 | 2476.693604 | 2488.250732 | 59.992184 | 2.0
2026-05-12 09:24:27 | 49.187042 | 52.828259 | 45.901367 | 0.003984 | 49.305557 | 49.187042 | 4.094833 | 8.325025 | 4331.405273 | 4297.493652 | 4306.683105 | 0.0 | 4311.86084 | 4310.950195 | 33.956688 | 0.787685 | 2497.66333 | 2491.348633 | 2478.361572 | 2489.124268 | 60.006832 | 2.0
2026-05-12 09:25:03 | 45.398708 | 48.525005 | 42.014954 | 0.003984 | 45.312885 | 45.190289 | 3.861894 | 8.545849 | 4332.476074 | 4297.731934 | 4311.098145 | 0.0 | 4313.769043 | 4312.976074 | 33.718395 | 0.78179 | 2499.807861 | 2491.110352 | 2480.029541 | 2490.315674 | 59.998043 | 2.0
2026-05-12 09:25:38 | 45.276108 | 49.003143 | 42.726032 | 0.003984 | 45.668427 | 45.558086 | 3.751554 | 8.234661 | 4329.866699 | 4297.251953 | 4310.738281 | 0.0 | 4312.619141 | 4311.784668 | 32.288639 | 0.748846 | 2498.616455 | 2490.037842 | 2480.148926 | 2489.601074 | 59.980465 | 2.0
2026-05-12 09:26:14 | 44.503731 | 48.794724 | 42.909931 | 0.003984 | 45.402798 | 45.300629 | 3.628954 | 8.010825 | 4329.628418 | 4294.268555 | 4310.379883 | 0.0 | 4311.425293 | 4310.592773 | 33.599247 | 0.779458 | 2499.093018 | 2488.727295 | 2478.957275 | 2488.925781 | 59.983395 | 2.0
2026-05-12 09:26:50 | 42.395012 | 46.305946 | 40.531498 | 0.003984 | 43.077484 | 42.971233 | 3.543134 | 8.245364 | 4335.443359 | 4299.045898 | 4313.963867 | 0.0 | 4316.150879 | 4315.239746 | 34.552418 | 0.800707 | 2501.833496 | 2492.063477 | 2480.98291 | 2491.626709 | 60.009762 | 2.0
