Timestamp_Local,KW Hours Forward,KW Hours Reverse,KW Hours Net,KVAR Hours Forward,KVAR Hours Reverse,KVAR Hours Net
(units),kWh,kWh,kWh,kVARh,kVARh,kVARh
2026-05-12 09:47:49,7693822.988544,-185.540567,7693637.4419,19605365.319788,-3.179442,19605362.137631
2026-05-12 09:48:19,7693823.212321,-185.540567,7693637.665677,19605365.811262,-3.179442,19605362.629104
2026-05-12 09:48:50,7693823.435842,-185.540567,7693637.889198,19605366.300564,-3.179442,19605363.118407
2026-05-12 09:49:20,7693823.658831,-185.540567,7693638.112187,19605366.790883,-3.179442,19605363.608725
2026-05-12 09:49:51,7693823.885525,-185.540567,7693638.338881,19605367.288766,-3.179442,19605364.106608
2026-05-12 09:50:21,7693824.112397,-185.540567,7693638.565753,19605367.787738,-3.179442,19605364.60558
2026-05-12 09:50:51,7693824.337072,-185.540567,7693638.790428,19605368.277582,-3.179442,19605365.095424
2026-05-12 09:51:21,7693824.565175,-185.540567,7693639.018531,19605368.767898,-3.179442,19605365.585741
2026-05-12 09:51:52,7693824.79812,-185.540567,7693639.251476,19605369.261665,-3.179442,19605366.079508
2026-05-12 09:52:22,7693825.030243,-185.540567,7693639.483599,19605369.745807,-3.179442,19605366.563649
2026-05-12 09:52:52,7693825.264926,-185.540567,7693639.718282,19605370.230958,-3.179442,19605367.048801
2026-05-12 09:53:23,7693825.50282,-185.540567,7693639.956176,19605370.719101,-3.179442,19605367.536944
2026-05-12 09:53:53,7693825.734405,-185.540567,7693640.187761,19605371.249624,-3.179442,19605368.067467
2026-05-12 09:54:24,7693825.960784,-185.540567,7693640.41414,19605371.792574,-3.179442,19605368.610416
2026-05-12 09:54:54,7693826.191899,-185.540567,7693640.645255,19605372.324783,-3.179442,19605369.142625
2026-05-12 09:55:24,7693826.438263,-185.540567,7693640.891619,19605372.804255,-3.179442,19605369.622098
2026-05-12 09:55:55,7693826.683826,-185.540567,7693641.137182,19605373.280959,-3.179442,19605370.098802
2026-05-12 09:56:25,7693826.926466,-185.540567,7693641.379822,19605373.757104,-3.179442,19605370.574946
2026-05-12 09:56:55,7693827.164352,-185.540567,7693641.617708,19605374.227972,-3.179442,19605371.045815
2026-05-12 09:57:26,7693827.402312,-185.540567,7693641.855668,19605374.705078,-3.179442,19605371.52292
2026-05-12 09:57:56,7693827.63222,-185.540567,7693642.085576,19605375.178573,-3.179442,19605371.996415
2026-05-12 09:58:27,7693827.856178,-185.540567,7693642.309534,19605375.656695,-3.179442,19605372.474537
2026-05-12 09:58:57,7693828.079556,-185.540567,7693642.532912,19605376.13596,-3.179442,19605372.953802
2026-05-12 09:59:27,7693828.305484,-185.540567,7693642.75884,19605376.619815,-3.179442,19605373.437658
2026-05-12 09:59:58,7693828.530445,-185.540567,7693642.983801,19605377.104595,-3.179442,19605373.922438
2026-05-12 10:00:28,7693828.755127,-185.540567,7693643.208483,19605377.589004,-3.179442,19605374.406846
2026-05-12 10:00:59,7693828.981512,-185.540567,7693643.434868,19605378.076804,-3.179442,19605374.894646
2026-05-12 10:01:29,7693829.20478,-185.540567,7693643.658136,19605378.559985,-3.179442,19605375.377827
2026-05-12 10:01:59,7693829.427665,-185.540567,7693643.881021,19605379.040895,-3.179442,19605375.858737
2026-05-12 10:02:30,7693829.650433,-185.540567,7693644.103789,19605379.529175,-3.179442,19605376.347018
