Timestamp_Local,IP,Index,Parameter_Name,Value,Unit,Demand Current,Demand Power,Demand Apparent Power,Projected #1 Demand Current,Projected #1 Demand Power,Projected #1 Demand Reactive Power,Projected #1 Demand Apparent Power,Projected #2 Demand Current,Projected #2 Demand Power,Projected #2 Demand Reactive Power,Projected #2 Demand Apparent Power,Projected #3 Demand Current,Projected #3 Demand Power,Projected #3 Demand Reactive Power,Projected #3 Demand Apparent Power,Elapsed Time
(units),,,,,,A,W,VA,A,W,VAR,VA,A,W,VAR,VA,A,W,VAR,VA,s
2026-05-11T18:16:16Z,10.16.130.50,14,Projected #3 Demand Current,371508.5625,A,,,,,,,,,,,,,,,,
2026-05-11T18:16:16Z,10.16.130.50,15,Projected #3 Demand Power,54.337521,W,,,,,,,,,,,,,,,,
2026-05-11T18:16:16Z,10.16.130.50,16,Projected #3 Demand Reactive Power,365713.625,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:16:16Z,10.16.130.50,17,Projected #3 Demand Apparent Power,170639.6875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:16:16Z,10.16.130.50,18,Elapsed Time,404833.8125,s,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,2,Time,20:56:50,,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,3,Demand Current,51.132595,A,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,4,Demand Power,342466.96875,W,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,5,Demand Apparent Power,167378.4375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,6,Projected #1 Demand Current,382092.40625,A,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,7,Projected #1 Demand Power,51.216824,W,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,8,Projected #1 Demand Reactive Power,345060.71875,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,9,Projected #1 Demand Apparent Power,164219.078125,VA,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,10,Projected #2 Demand Current,382955.15625,A,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,11,Projected #2 Demand Power,54.459408,W,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,12,Projected #2 Demand Reactive Power,368753.1875,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,13,Projected #2 Demand Apparent Power,170879.984375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,14,Projected #3 Demand Current,407247.5,A,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,15,Projected #3 Demand Power,47.406494,W,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,16,Projected #3 Demand Reactive Power,321211.5625,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,17,Projected #3 Demand Apparent Power,154130.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:19:20Z,10.16.130.50,18,Elapsed Time,356408.40625,s,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,2,Time,21:06:13,,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,3,Demand Current,51.132595,A,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,4,Demand Power,342466.96875,W,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,5,Demand Apparent Power,167378.4375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,6,Projected #1 Demand Current,382092.40625,A,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,7,Projected #1 Demand Power,49.628986,W,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,8,Projected #1 Demand Reactive Power,333886.09375,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,9,Projected #1 Demand Apparent Power,159377.5625,VA,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,10,Projected #2 Demand Current,370770.625,A,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,11,Projected #2 Demand Power,49.075462,W,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,12,Projected #2 Demand Reactive Power,330451.65625,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,13,Projected #2 Demand Apparent Power,157088.53125,VA,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,14,Projected #3 Demand Current,366688.875,A,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,15,Projected #3 Demand Power,48.865513,W,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,16,Projected #3 Demand Reactive Power,329302.75,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,17,Projected #3 Demand Apparent Power,155964.484375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:28:43Z,10.16.130.50,18,Elapsed Time,365118.25,s,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,2,Time,21:09:16,,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,3,Demand Current,49.191601,A,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,4,Demand Power,331229.53125,W,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,5,Demand Apparent Power,157337.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,6,Projected #1 Demand Current,367524.78125,A,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,7,Projected #1 Demand Power,48.206379,W,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,8,Projected #1 Demand Reactive Power,326911.6875,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,9,Projected #1 Demand Apparent Power,148974.359375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,10,Projected #2 Demand Current,360354.59375,A,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,11,Projected #2 Demand Power,48.558781,W,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,12,Projected #2 Demand Reactive Power,328850.21875,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:31:46Z,10.16.130.50,13,Projected #2 Demand Apparent Power,151610.84375,VA,,,,,,,,,,,,,,,,
