Timestamp_Local,Demand Current,Demand Power,Demand Apparent Power,Projected #1 Demand Current,Projected #1 Demand Power,Projected #1 Demand Reactive Power,Projected #1 Demand Apparent Power,Projected #2 Demand Current,Projected #2 Demand Power,Projected #2 Demand Reactive Power,Projected #2 Demand Apparent Power,Projected #3 Demand Current,Projected #3 Demand Power,Projected #3 Demand Reactive Power,Projected #3 Demand Apparent Power,Elapsed Time
(units),A,W,VA,A,W,VAR,VA,A,W,VAR,VA,A,W,VAR,VA,s
2026-05-14 10:39:55,17.349548,27676.429688,57330.257812,129316.992188,17.158396,28377.908203,55638.9375,127965.46875,17.284966,28893.849609,55711.9375,128894.289062,16.973101,27958.277344,55813.507812,126605.171875
2026-05-14 10:40:15,17.349548,27676.429688,57330.257812,129316.992188,17.164042,28397.841797,55647.417969,128008.585938,17.161747,28308.126953,55737.214844,128045.890625,16.694485,26149.972656,55598.902344,124827.882812
2026-05-14 10:40:35,17.349548,27676.429688,57330.257812,129316.992188,17.165359,28391.507812,55654.929688,128021.132812,17.206814,28456.28125,55796.222656,128355.148438,17.328159,29103.041016,55893.601562,129104.671875
2026-05-14 10:40:56,17.349548,27676.429688,57330.257812,129316.992188,17.166798,28393.714844,55658.089844,128031.6875,17.222277,28599.080078,55749.140625,128455.710938,17.477409,29728.634766,56060.417969,130417.601562
2026-05-14 10:41:15,17.349548,27676.429688,57330.257812,129316.992188,17.176537,28430.042969,55666.300781,128104.28125,17.278843,28789.201172,55743.929688,128870.625,17.382557,29007.853516,55679.234375,129662.648438
2026-05-14 10:41:36,17.349548,27676.429688,57330.257812,129316.992188,17.183067,28440.257812,55684.539062,128151.976562,17.251492,28280.642578,56212.5,128657.625,17.370878,27497.158203,58223.558594,129488.164062
2026-05-14 10:41:56,17.349548,27676.429688,57330.257812,129316.992188,17.19162,28428.277344,55741.410156,128215.242188,17.245882,28250.84375,56211.019531,128626.460938,17.1068,27560.265625,56122.550781,127652.4375
2026-05-14 10:42:16,17.349548,27676.429688,57330.257812,129316.992188,17.196636,28404.222656,55796.8125,128253.75,17.20462,28129.365234,56233.855469,128338.53125,17.055496,27769.449219,56324.023438,127300.734375
2026-05-14 10:42:37,17.349548,27676.429688,57330.257812,129316.992188,17.198923,28376.732422,55849.738281,128273.585938,17.176582,28064.71875,56183.355469,128121.382812,17.006466,27522.480469,56021.390625,126839.335938
2026-05-14 10:42:57,17.349548,27676.429688,57330.257812,129316.992188,17.197895,28338.580078,55895.847656,128267.398438,17.170019,27975.412109,56173.210938,128070.117188,17.100321,27562.890625,56110.601562,127535.65625
2026-05-14 10:43:17,17.349548,27676.429688,57330.257812,129316.992188,17.194326,28290.667969,55933.675781,128242.34375,17.167868,27983.509766,56203.375,128058.085938,17.131699,27903.845703,56253.421875,127789.90625
2026-05-14 10:43:38,17.349548,27676.429688,57330.257812,129316.992188,17.191378,28242.347656,55976.929688,128224.773438,17.172989,27979.654297,56186.097656,128107.070312,17.170557,27951.599609,56126.265625,128083.234375
2026-05-14 10:43:58,17.349548,27676.429688,57330.257812,129316.992188,17.188311,28194.773438,56014.8125,128205.570312,17.174366,27978.830078,56175.515625,128114.375,17.171137,27969.380859,56143.464844,128079.078125
2026-05-14 10:44:19,17.349548,27676.429688,57330.257812,129316.992188,17.184805,28151.863281,56046.929688,128181.859375,17.172359,27989.474609,56167.003906,128098.328125,17.173565,27995.892578,56158.089844,128104.78125
2026-05-14 10:44:39,17.349548,27676.429688,57330.257812,129316.992188,17.181356,28110.324219,56076.144531,128157.835938,17.168959,27981.742188,56150.945312,128065.476562,17.166595,27978.498047,56132.949219,128042.867188
2026-05-14 10:44:59,17.349548,27676.429688,57330.257812,129316.992188,17.178665,28072.378906,56105.960938,128140.125,17.173805,27987.021484,56179.335938,128111.65625,17.175537,27991.113281,56188.1875,128127.484375
2026-05-14 10:45:20,17.349548,27676.429688,57330.257812,129316.992188,17.175608,28034.738281,56135.742188,128118.765625,17.17111,27989.714844,56166.96875,128084.601562,17.171013,27990.460938,56165.511719,128083.046875
2026-05-14 10:45:40,17.349548,27676.429688,57330.257812,129316.992188,17.172935,28000.990234,56161.542969,128099.789062,17.172081,27987.789062,56173.484375,128094.125,17.17211,27987.748047,56173.710938,128094.375
2026-05-14 10:46:00,17.171837,27987.642578,56173.570312,128092.015625,17.035685,26623.984375,57523.410156,127130.414062,17.037464,26671.425781,57504.84375,127146.257812,16.950657,30338.748047,56745.90625,126234.648438
2026-05-14 10:46:22,17.171837,27987.642578,56173.570312,128092.015625,17.04262,26687.09375,57535.878906,127202.710938,17.08671,26697.154297,57836.148438,127631.515625,17.754467,27070.886719,61728.191406,134024.484375
2026-05-14 10:46:42,17.171837,27987.642578,56173.570312,128092.015625,17.034365,26676.460938,57501.257812,127130.765625,17.01063,26667.628906,57351.980469,126918.875,16.338203,26640.056641,52933.015625,120747.65625
2026-05-14 10:47:02,17.171837,27987.642578,56173.570312,128092.015625,17.024755,26678.207031,57440.019531,127041.898438,16.996826,26699.994141,57234.855469,126782.085938,16.658945,26612.298828,56011.316406,123458.835938
2026-05-14 10:47:22,17.171837,27987.642578,56173.570312,128092.015625,17.018087,26662.875,57395.976562,126979.335938,17.000706,26566.835938,57391.449219,126842.070312,17.009783,24573.574219,59309.683594,127319.890625
2026-05-14 10:47:44,17.171837,27987.642578,56173.570312,128092.015625,17.014879,26624.150391,57402.261719,126956.851562,17.024002,26494.101562,57532.070312,127076.4375,17.33865,26213.339844,58921.558594,130212.101562
2026-05-14 10:48:06,17.171837,27987.642578,56173.570312,128092.015625,17.014395,26587.892578,57449.550781,126956.9375,17.01634,26424.273438,57701.558594,126994.195312,17.053377,26577.164062,58917.65625,127145.335938
2026-05-14 10:48:26,17.171837,27987.642578,56173.570312,128092.015625,17.018679,26579.3125,57447.058594,126990.539062,17.109919,26794.748047,57073.96875,127699.960938,18.207663,30420.289062,50229.011719,136124.15625
2026-05-14 10:48:46,17.171837,27987.642578,56173.570312,128092.015625,17.030338,26606.914062,57388.542969,127080.328125,17.11208,26827.296875,57048.410156,127715.578125,17.1584,27055.992188,56747.144531,127951.726562
2026-05-14 10:49:06,17.171837,27987.642578,56173.570312,128092.015625,17.041231,26620.015625,57351.320312,127167.453125,17.130802,26630.117188,57128.789062,127897.242188,17.093027,24803.763672,57262.152344,127719.289062
2026-05-14 10:49:28,17.171837,27987.642578,56173.570312,128092.015625,17.057243,26649.166016,57258.53125,127288.34375,17.177458,26931.097656,56494.304688,128179.117188,17.744499,29704.748047,50949.066406,131952.4375
2026-05-14 10:49:48,17.171837,27987.642578,56173.570312,128092.015625,17.069681,26681.212891,57167.203125,127378.976562,17.158367,26926.003906,56342.472656,127988.859375,16.972473,26732.15625,55737.792969,126213.445312
2026-05-14 10:50:08,17.171837,27987.642578,56173.570312,128092.015625,17.08112,26704.142578,57085.496094,127462.765625,17.184069,26989.269531,56479.042969,128229.023438,17.194893,27548.253906,56916.863281,128377.132812
2026-05-14 10:50:28,17.171837,27987.642578,56173.570312,128092.015625,17.091726,26734.779297,57029.179688,127542.976562,17.187941,27038.851562,56482.042969,128256.570312,17.047123,27192.308594,55574.277344,126947.492188
2026-05-14 10:50:48,17.171837,27987.642578,56173.570312,128092.015625,17.101,26758.564453,56979.945312,127611.796875,17.179199,26927.023438,56477.800781,128146.945312,17.201023,25696.882812,55832.46875,128131.117188
2026-05-14 10:51:11,17.171837,27987.642578,56173.570312,128092.015625,17.110514,26777.412109,56934.152344,127679.828125,17.213718,27100.714844,56519.054688,128412.796875,17.615849,29133.849609,57379.074219,131634.65625
2026-05-14 10:51:31,17.171837,27987.642578,56173.570312,128092.015625,17.120321,26800.257812,56901.203125,127752.226562,17.312067,27316.4375,56640.96875,129191.109375,18.348347,30151.267578,57291.679688,137224.125
2026-05-14 10:51:51,17.171837,27987.642578,56173.570312,128092.015625,17.133644,26841.314453,56865.585938,127850.648438,17.289858,27291.291016,56499.34375,128994.796875,17.66226,28595.53125,56111.550781,131664.03125
2026-05-14 10:52:11,17.171837,27987.642578,56173.570312,128092.015625,17.149273,26893.099609,56850.375,127973.039062,17.282408,27243.880859,56720.628906,129112.601562,17.153336,25670.121094,58336.699219,129334.71875
2026-05-14 10:52:31,17.171837,27987.642578,56173.570312,128092.015625,17.168819,26954.029297,56852.710938,128129.328125,17.316385,27371.273438,56692.585938,129259.539062,17.022997,26118.3125,55761.210938,126596.507812
2026-05-14 10:52:51,17.171837,27987.642578,56173.570312,128092.015625,17.190907,27028.271484,56854.789062,128301.09375,17.49028,28278.873047,56816.589844,130544.578125,18.090765,32233.421875,56363.816406,134561.390625
2026-05-14 10:53:11,17.171837,27987.642578,56173.570312,128092.015625,17.210016,27094.009766,56858.589844,128441.570312,17.4543,27919.837891,56880.234375,130192.734375,17.540321,28589.207031,56133.945312,130045.195312
2026-05-14 10:53:35,17.171837,27987.642578,56173.570312,128092.015625,17.232004,27170.416016,56855.132812,128596.890625,17.443111,27929.783203,56877.261719,130097.625,17.485455,28076.105469,57032.136719,130384.039062
2026-05-14 10:53:55,17.171837,27987.642578,56173.570312,128092.015625,17.250175,27239.458984,56851.277344,128724.851562,17.408537,27891.130859,56759.015625,129813.015625,17.132713,27445.976562,55816.597656,127551.5625
2026-05-14 10:54:15,17.171837,27987.642578,56173.570312,128092.015625,17.269354,27316.222656,56847.425781,128861.203125,17.502731,28241.914062,56803.050781,130538.960938,17.374645,27828.970703,56289.425781,129658.789062
2026-05-14 10:54:35,17.171837,27987.642578,56173.570312,128092.015625,17.289867,27396.181641,56839.5625,129007.257812,17.499912,28173.462891,56802.238281,130501.257812,17.48245,27866.871094,56773.550781,130293.710938
2026-05-14 10:54:55,17.171837,27987.642578,56173.570312,128092.015625,17.310619,27476.349609,56837.671875,129157.203125,17.549408,28382.082031,56841.035156,130894.234375,17.87118,29427.585938,56987.230469,133418.328125
