Timestamp_Local,L1 Real Power,L2 Real Power,L3 Real Power,Total Real Power,L1 Reactive Power,L2 Reactive Power,L3 Reactive Power,Total Reactive Power,L1 Apparent Power,L2 Apparent Power,L3 Apparent Power,Total Apparent Power,L1 True PF,L2 True PF,L3 True PF,Total True PF,L1 Displacement PF,L2 Displacement PF,L3 Displacement PF,Total Displacement PF,L1 Distortion PF,L2 Distortion PF,L3 Distortion PF,Total Distortion PF
(units),W,W,W,W,VAR,VAR,VAR,VAR,VA,VA,VA,VA,%,%,%,%,%,%,%,%,%,%,%,%
2026-05-12 09:55:55,110026.28125,117825.226562,107329.46875,335180.96875,54746.984375,48031.546875,43724.890625,146503.421875,122891.742188,127246.171875,115914.359375,366052.25,-89.531059,-92.596283,-92.593765,-91.580986,-90.215553,-92.991951,-93.542267,12.857466,99.981842,99.981758,99.963638,99.975746
2026-05-12 09:56:25,111782.429688,125511.617188,111676.976562,348971.03125,58285.644531,51455.035156,42017.261719,151757.9375,126052.8125,135650.640625,119331.304688,381034.75,-88.679047,-92.525642,-93.585655,-91.588669,-89.467949,-91.884293,-92.146347,-91.203857,99.983826,99.982819,99.966972,99.977875
2026-05-12 09:56:55,111814.773438,126470.140625,112461.054688,350745.96875,59603.527344,52766.746094,42591.925781,154962.203125,126700.960938,137028.25,120268.226562,383997.4375,-88.250931,-92.29493,-93.50853,-91.330215,-89.773705,-92.527328,-92.716476,-91.721977,99.9851,99.984474,99.97023,99.979942
2026-05-12 09:57:26,122253.507812,137359.578125,122187.882812,381800.96875,61341.261719,53493.980469,43384.320312,158219.5625,136762.09375,147402.203125,129677.015625,413841.3125,-89.391365,-93.186928,-94.224785,-92.289665,-89.773705,-92.527328,-92.716476,-91.721977,99.9851,99.984474,99.97023,99.979942
2026-05-12 09:57:56,118812.632812,132721.96875,120902.25,372436.84375,57968.351562,53447.515625,42719.066406,154134.9375,132188.359375,143063.296875,128229.84375,403481.5,-89.881325,-92.771507,-94.285583,-92.298439,-88.561905,-92.372147,-93.472969,11.024697,99.986069,99.985634,99.970245,99.980652
2026-05-12 09:58:27,114115.390625,129918.867188,114818.039062,358852.28125,59284.832031,52284.261719,41179.808594,152748.90625,128584.625,140036.9375,121987.445312,390609.0,-88.747307,-92.774712,-94.122833,-91.864655,-88.561905,-92.372147,-93.472969,11.024697,99.986069,99.985634,99.970245,99.980652
2026-05-12 09:58:57,105516.570312,120166.234375,105285.007812,330967.8125,57058.445312,49194.429688,39294.832031,145547.703125,119955.046875,129836.789062,112406.265625,362198.125,-87.963432,-92.551758,-93.664711,-91.369774,-89.972282,-92.77729,-94.196251,13.10779,99.988297,99.987053,99.975464,99.983604
2026-05-12 09:59:27,104667.148438,119329.054688,104267.679688,328263.875,57645.167969,49665.136719,39858.652344,147168.953125,119494.25,129250.0625,111642.203125,360386.5,-87.591789,-92.324181,-93.394508,-91.08712,-89.972282,-92.77729,-94.196251,13.10779,99.988297,99.987053,99.975464,99.983604
2026-05-12 09:59:58,98238.625,108932.671875,95172.164062,302343.46875,50539.332031,41532.253906,35656.328125,127727.914062,110466.226562,116594.757812,101658.0,328719.0,-88.930908,-93.428452,-93.619949,-91.992096,-87.783264,-92.616241,-93.610832,-91.504005,99.984947,99.983734,99.968216,99.978966
2026-05-12 10:00:28,98910.140625,109433.109375,97558.507812,305901.75,49870.433594,43016.824219,36105.90625,128993.164062,110782.492188,117598.429688,104039.484375,332420.40625,-89.283188,-93.056602,-93.77066,-92.026199,-87.783264,-92.616241,-93.610832,-91.504005,99.984947,99.983734,99.968216,99.978966
2026-05-12 10:00:59,99874.554688,114139.796875,101061.085938,315075.4375,50381.617188,44577.585938,34083.039062,129042.242188,111859.648438,122528.453125,106667.484375,341055.5625,-89.285591,-93.153702,-94.744041,-92.377647,-88.896858,-93.381378,-93.67865,-92.118523,99.979561,99.977272,99.954628,99.97049
2026-05-12 10:01:29,100458.9375,113994.515625,100180.0625,314633.5,53981.792969,46939.996094,37580.191406,138501.984375,114043.125,123270.742188,107021.710938,344335.59375,-88.088554,-92.474915,-93.607239,-91.386017,-88.896858,-93.381378,-93.67865,-92.118523,99.979561,99.977272,99.954628,99.97049
2026-05-12 10:01:59,100273.554688,113860.734375,101970.617188,316104.90625,52950.167969,48077.917969,37592.90625,138621.0,113401.4375,123576.445312,108711.390625,345689.25,-88.423531,-92.137894,-93.799385,-91.439629,-89.074806,-92.938347,-94.47818,12.866332,99.981575,99.981812,99.962463,99.975281
2026-05-12 10:02:30,100730.515625,114514.117188,104884.226562,320128.84375,51273.015625,49107.582031,37065.453125,137446.046875,113035.34375,124595.539062,111271.054688,348901.9375,-89.114182,-91.908676,-94.260117,-91.749268,-89.074806,-92.938347,-94.47818,12.866332,99.981575,99.981812,99.962463,99.975281
