Timestamp_UTC,IP,Index,Parameter_Name,Value,Unit
2026-05-11T18:04:55Z,10.16.130.51,1,Date,6/7/2022,
2026-05-11T18:04:55Z,10.16.130.51,2,Time,14:19:07,
2026-05-11T18:04:55Z,10.16.130.51,3,Bulletin Number,1403,
2026-05-11T18:04:55Z,10.16.130.51,4,MMFRN,304,
2026-05-11T18:04:55Z,10.16.130.51,5,Options Bit Field,9,
2026-05-11T18:04:55Z,10.16.130.51,6,Overall Status,0,
2026-05-11T18:04:55Z,10.16.130.51,7,MM ROM Status,0,
2026-05-11T18:04:55Z,10.16.130.51,8,MM RAM Status,0,
2026-05-11T18:04:55Z,10.16.130.51,9,NV RAM Status,0,
2026-05-11T18:04:55Z,10.16.130.51,10,Power Supply Check,0,
2026-05-11T18:04:55Z,10.16.130.51,11,Data Acquisition,0,
2026-05-11T18:04:55Z,10.16.130.51,12,MM Watchdog Timer,0,
2026-05-11T18:04:55Z,10.16.130.51,13,Real Time Clock Status,0,
2026-05-11T18:04:55Z,10.16.130.51,16,Battery Usage,0,
2026-05-11T18:04:55Z,10.16.130.51,17,SCC Status,128,
2026-05-11T18:04:55Z,10.16.130.51,19,SCC Type,2,
2026-05-11T18:04:55Z,10.16.130.51,20,SCC FRN,202,
2026-05-11T18:04:55Z,10.16.130.51,21,Number of DMs,1,
2026-05-11T18:04:55Z,10.16.130.51,22,DM Status,0,
2026-05-11T18:04:55Z,10.16.130.51,23,DM Self Test Results Word 1,0,
2026-05-11T18:04:55Z,10.16.130.51,24,DM Self Test Results Word 2,0,
2026-05-11T18:04:55Z,10.16.130.51,25,DM #1 FRN,110,
2026-05-11T18:04:55Z,10.16.130.51,26,DM #2 FRN,0,
2026-05-11T18:04:55Z,10.16.130.51,27,DM #3 FRN,0,
2026-05-11T18:04:55Z,10.16.130.51,28,Aux. Freq.,0.0,
2026-05-11T18:04:55Z,10.16.130.51,29,Fiber Loop Back Test Results,64,
2026-05-11T18:04:55Z,10.16.130.51,30,EEPROM Status,0,
2026-05-11T18:04:55Z,10.16.130.51,31,Device ID,154,
2026-05-11T18:04:55Z,10.16.130.51,32,General Purpose Status Bits,2,
2026-05-11T18:04:55Z,10.16.130.51,33,BT Error Status Word (Block Size ID),0,
2026-05-11T18:04:55Z,10.16.130.51,34,BT Error Status Word (Parameter Number),0,
2026-05-11T18:11:26Z,10.16.130.51,1,Date,6/7/2022,
2026-05-11T18:11:26Z,10.16.130.51,2,Time,14:25:38,
2026-05-11T18:11:26Z,10.16.130.51,3,Bulletin Number,1403,
2026-05-11T18:11:26Z,10.16.130.51,4,MMFRN,304,
2026-05-11T18:11:26Z,10.16.130.51,5,Options Bit Field,9,
2026-05-11T18:11:26Z,10.16.130.51,6,Overall Status,0,
2026-05-11T18:11:26Z,10.16.130.51,7,MM ROM Status,0,
2026-05-11T18:11:26Z,10.16.130.51,8,MM RAM Status,0,
2026-05-11T18:11:26Z,10.16.130.51,9,NV RAM Status,0,
2026-05-11T18:11:26Z,10.16.130.51,10,Power Supply Check,0,
2026-05-11T18:11:26Z,10.16.130.51,11,Data Acquisition,0,
2026-05-11T18:11:26Z,10.16.130.51,12,MM Watchdog Timer,0,
2026-05-11T18:11:26Z,10.16.130.51,13,Real Time Clock Status,0,
2026-05-11T18:11:26Z,10.16.130.51,16,Battery Usage,0,
2026-05-11T18:11:26Z,10.16.130.51,17,SCC Status,128,
2026-05-11T18:11:26Z,10.16.130.51,19,SCC Type,2,
2026-05-11T18:11:26Z,10.16.130.51,20,SCC FRN,202,
2026-05-11T18:11:26Z,10.16.130.51,21,Number of DMs,1,
2026-05-11T18:11:26Z,10.16.130.51,22,DM Status,0,
2026-05-11T18:11:26Z,10.16.130.51,23,DM Self Test Results Word 1,0,
2026-05-11T18:11:26Z,10.16.130.51,24,DM Self Test Results Word 2,0,
2026-05-11T18:11:26Z,10.16.130.51,25,DM #1 FRN,110,
2026-05-11T18:11:26Z,10.16.130.51,26,DM #2 FRN,0,
2026-05-11T18:11:26Z,10.16.130.51,27,DM #3 FRN,0,
2026-05-11T18:11:26Z,10.16.130.51,28,Aux. Freq.,0.0,
2026-05-11T18:11:26Z,10.16.130.51,29,Fiber Loop Back Test Results,64,
2026-05-11T18:11:26Z,10.16.130.51,30,EEPROM Status,0,
2026-05-11T18:11:26Z,10.16.130.51,31,Device ID,154,
2026-05-11T18:11:26Z,10.16.130.51,32,General Purpose Status Bits,2,
2026-05-11T18:11:26Z,10.16.130.51,33,BT Error Status Word (Block Size ID),0,
2026-05-11T18:11:26Z,10.16.130.51,34,BT Error Status Word (Parameter Number),0,
