Timestamp_Local,L1 Current,L2 Current,L3 Current,L4(Neutral) Current,3 Phase Average Current,Pos. Seq. Current,Neg. Seq. Current,Current Unbalanced,L1-L2 Voltage,L2-L3 Voltage,L3-L1 Voltage,AUX Voltage,3 Phase Average Voltage L-L,Pos. Seq. Voltage,Neg. Seq. Voltage,Voltage Unbalanced,L1-N Voltage,L2-N Voltage,L3-N Voltage,3 Phase Average Voltage L-N,Last Cycle Frequency,Phase Rotation
(units),A,A,A,A,A,A,A,A,V,V,V,V,V,V,V,V,V,V,V,V,Hz,
2026-05-14 10:39:55,51.737118,57.278629,51.197678,0.003984,53.404476,53.294136,4.009014,7.522429,4319.047852,4279.594238,4306.923828,0.0,4301.855469,4300.942383,35.148151,0.81722,2496.471924,2479.79126,2473.953125,2483.405518,60.020504,2.0
2026-05-14 10:40:15,49.015404,53.858093,47.973305,0.003984,50.282269,50.167839,3.739294,7.453568,4323.328613,4281.739746,4307.996094,0.0,4304.35498,4303.444336,36.458759,0.8472,2498.139893,2482.055176,2474.310547,2484.835205,60.000973,2.0
2026-05-14 10:40:35,51.357059,56.739189,50.008461,0.003984,52.701569,52.583057,4.217433,8.020517,4322.381348,4282.453613,4308.590332,0.0,4304.475098,4303.563477,35.505589,0.825028,2497.782471,2481.816895,2475.144775,2484.914795,59.986324,2.0
2026-05-14 10:40:56,53.208317,58.995026,52.276558,0.003984,54.82663,54.691772,4.340033,7.935441,4320.007324,4280.065918,4308.589355,0.0,4302.887207,4302.014648,35.505589,0.825325,2497.305908,2480.029541,2474.667969,2484.001221,59.977535,2.0
2026-05-14 10:41:15,51.945538,57.49931,50.3027,0.003984,53.24918,53.122498,4.511673,8.492961,4317.98584,4282.334473,4309.067871,0.0,4303.129395,4302.25293,33.122665,0.769891,2496.471924,2479.9104,2476.0979,2484.160156,59.986324,2.0
2026-05-14 10:41:36,51.982319,57.683208,50.560162,0.003984,53.408566,53.281876,4.487153,8.421537,4312.878906,4283.169434,4306.799316,0.0,4300.949219,4300.10791,29.667421,0.689923,2493.374023,2478.718994,2476.455322,2482.849365,59.980465,2.0
2026-05-14 10:41:56,49.530323,54.458836,48.598564,0.003984,50.862576,50.756321,3.739294,7.36715,4312.758789,4285.19873,4308.590332,0.0,4302.182129,4301.299805,28.595106,0.664802,2493.731445,2479.076416,2477.88501,2483.564209,59.986324,2.0
2026-05-14 10:42:16,47.225445,52.386898,45.33741,0.003984,48.316586,48.169464,4.389073,9.111733,4319.763672,4289.855957,4312.412109,0.0,4307.34375,4306.422852,29.905714,0.694444,2496.829346,2483.008301,2479.79126,2486.542969,60.006832,2.0
2026-05-14 10:42:37,49.027664,54.262676,47.151886,0.004291,50.147411,50.008461,4.438113,8.874724,4317.025879,4285.442871,4309.789551,0.0,4304.085938,4303.206055,30.739738,0.714345,2495.75708,2480.744629,2477.765869,2484.755859,60.032223,2.0
